latitude,longitude,ph,moisture,nitrogen,cec
8260500.000000001,-10749250.0,66.0,487.0,824.0,336.0
8260500.000000001,-10449250.0,63.0,505.0,868.0,422.0
8260500.000000001,-10349250.0,65.0,487.0,924.0,422.0
8260500.000000001,-10149250.0,65.0,502.0,1006.0,444.0
8260500.000000001,1650750.0,64.0,468.0,1047.0,444.0
8260500.000000001,1850750.0,64.0,473.0,1031.0,373.0
8160500.000000001,-10949250.0,65.0,514.0,972.0,459.0
8160500.000000001,-10749250.0,63.0,526.0,759.0,367.0
8160500.000000001,-10549250.0,63.0,517.0,799.0,355.0
8160500.000000001,-10349250.0,65.0,495.0,764.0,363.0
8160500.000000001,-10249250.0,67.0,476.0,669.0,301.0
8160500.000000001,1550750.0,63.0,470.0,1227.0,402.0
8160500.000000001,5550750.0,65.0,449.0,1023.0,477.0
8060500.000000001,-11149250.0,68.0,545.0,1066.0,453.0
8060500.000000001,-10949250.0,67.0,528.0,986.0,397.0
8060500.000000001,-10549250.0,61.0,560.0,751.0,378.0
8060500.000000001,1450750.0,65.0,457.0,1086.0,476.0
8060500.000000001,2750750.0,61.0,423.0,869.0,414.0
8060500.000000001,3050750.0,61.0,454.0,963.0,405.0
7960500.000000001,-11949250.0,68.0,517.0,1039.0,347.0
7960500.000000001,-10949250.0,68.0,494.0,745.0,326.0
7960500.000000001,-10749250.0,66.0,523.0,696.0,351.0
7960500.000000001,-10649250.0,62.0,519.0,649.0,340.0
7960500.000000001,-10549250.0,62.0,557.0,769.0,347.0
7960500.000000001,-9849250.0,66.0,509.0,714.0,435.0
7960500.000000001,1250750.0,63.0,476.0,1155.0,493.0
7960500.000000001,4750750.0,65.0,441.0,1144.0,443.0
7960500.000000001,4850750.0,65.0,474.0,1305.0,506.0
7960500.000000001,6150750.0,60.0,499.0,1566.0,613.0
7960500.000000001,6250750.0,63.0,478.0,1239.0,498.0
7960500.000000001,6350750.0,63.0,462.0,1166.0,456.0
7960500.000000001,6450750.0,62.0,478.0,1255.0,491.0
7860500.000000001,-11849250.0,69.0,484.0,728.0,336.0
7860500.000000001,-11749250.0,70.0,493.0,726.0,339.0
7860500.000000001,-11649250.0,71.0,476.0,751.0,268.0
7860500.000000001,-11549250.0,72.0,497.0,982.0,295.0
7860500.000000001,-11449250.0,71.0,502.0,930.0,318.0
7860500.000000001,-11149250.0,71.0,498.0,772.0,304.0
7860500.000000001,-10949250.0,68.0,504.0,799.0,398.0
7860500.000000001,-10749250.0,65.0,553.0,602.0,347.0
7860500.000000001,-10649250.0,65.0,546.0,681.0,280.0
7860500.000000001,-10549250.0,63.0,568.0,763.0,361.0
7860500.000000001,1150750.0,62.0,454.0,921.0,325.0
7860500.000000001,1250750.0,67.0,446.0,1255.0,500.0
7860500.000000001,5850750.0,63.0,471.0,1312.0,537.0
7860500.000000001,5950750.0,61.0,478.0,1406.0,576.0
7860500.000000001,6050750.0,62.0,476.0,1204.0,492.0
7860500.000000001,6150750.0,62.0,512.0,1323.0,637.0
7860500.000000001,6250750.0,60.0,500.0,1350.0,578.0
7860500.000000001,6350750.0,61.0,492.0,1374.0,466.0
7860500.000000001,6450750.0,61.0,487.0,1245.0,449.0
7860500.000000001,6550750.0,63.0,490.0,1051.0,421.0
7860500.000000001,6650750.0,61.0,492.0,995.0,413.0
7860500.000000001,6750750.0,61.0,523.0,924.0,405.0
7860500.000000001,7850750.0,64.0,460.0,1022.0,392.0
7860500.000000001,8050750.0,66.0,499.0,963.0,369.0
7860500.000000001,8250750.0,67.0,508.0,1013.0,371.0
7760500.000000001,-12149250.0,72.0,498.0,789.0,332.0
7760500.000000001,-12049250.0,70.0,489.0,565.0,252.0
7760500.000000001,-11949250.0,72.0,501.0,714.0,341.0
7760500.000000001,-11049250.0,74.0,512.0,592.0,273.0
7760500.000000001,-10849250.0,69.0,518.0,751.0,394.0
7760500.000000001,-10749250.0,70.0,553.0,665.0,327.0
7760500.000000001,950750.0,62.0,466.0,1136.0,403.0
