x,y,ph,moisture,nitrogen,cec
10511750.0,2970500.000000001,65.0,424.0,295.0,186.0
5573750.0,2095500.000000001,81.0,297.0,113.0,157.0
-11558250.0,3805500.000000001,78.0,304.0,99.0,117.0
3430750.0,1964500.000000001,82.0,263.0,40.0,180.0
-6389250.0,-305499.99999999907,47.0,388.0,252.0,209.0
6043750.0,5802500.000000001,71.0,496.0,450.0,335.0
1031750.0,6313500.000000001,55.0,460.0,1014.0,318.0
4193750.0,5613500.000000001,68.0,549.0,801.0,353.0
-7882250.0,-806499.9999999991,42.0,357.0,287.0,150.0
3966750.0,-1637499.999999999,58.0,332.0,114.0,82.0
10783750.0,6832500.000000001,51.0,661.0,666.0,458.0
3565750.0,-2266499.999999999,58.0,361.0,205.0,117.0
-6986250.0,-1872499.999999999,57.0,352.0,241.0,125.0
319750.0,847500.0000000009,61.0,288.0,147.0,119.0
-9173250.0,5748500.000000001,52.0,617.0,685.0,419.0
11866750.0,1319500.000000001,56.0,419.0,249.0,188.0
-5753250.0,-1194499.999999999,50.0,341.0,151.0,119.0
3419750.0,2874500.000000001,82.0,290.0,63.0,177.0
5262750.0,5208500.000000001,77.0,408.0,420.0,240.0
5451750.0,6775500.000000001,52.0,631.0,916.0,507.0
5651750.0,5287500.000000001,79.0,342.0,277.0,198.0
13622750.0,-3292499.999999999,77.0,334.0,53.0,213.0
3154750.0,-1331499.999999999,57.0,286.0,234.0,106.0
-7725250.0,-4629499.999999999,51.0,425.0,967.0,362.0
10886750.0,2685500.000000001,58.0,386.0,264.0,167.0
-14338250.0,7344500.000000001,56.0,440.0,1329.0,750.0
11012750.0,3473500.000000001,58.0,431.0,441.0,200.0
4448750.0,1152500.000000001,71.0,379.0,186.0,330.0
2390750.0,6298500.000000001,53.0,506.0,889.0,303.0
-8148250.0,-1326499.999999999,52.0,385.0,473.0,254.0
2422750.0,3102500.000000001,81.0,298.0,108.0,125.0
-7758250.0,-4305499.999999999,58.0,433.0,569.0,348.0
-9212250.0,4799500.000000001,65.0,399.0,678.0,314.0
-12316250.0,3304500.000000001,81.0,294.0,47.0,139.0
9933750.0,3872500.000000001,73.0,395.0,460.0,263.0
2309750.0,1325500.000000001,69.0,371.0,114.0,204.0
13055750.0,502500.00000000093,54.0,394.0,416.0,210.0
3660750.0,5570500.000000001,67.0,545.0,1037.0,356.0
1652750.0,952500.0000000009,63.0,356.0,230.0,141.0
4257750.0,6682500.000000001,47.0,610.0,1014.0,659.0
4895750.0,3724500.000000001,77.0,338.0,247.0,297.0
-6849250.0,-1428499.999999999,50.0,347.0,164.0,84.0
11466750.0,4733500.000000001,59.0,435.0,801.0,307.0
1450750.0,-1812499.999999999,79.0,330.0,69.0,124.0
591750.0,7054500.000000001,60.0,450.0,648.0,292.0
11723750.0,2496500.000000001,55.0,402.0,432.0,160.0
3147750.0,834500.0000000009,61.0,290.0,140.0,71.0
3575750.0,2830500.000000001,81.0,295.0,131.0,169.0
2813750.0,6362500.000000001,56.0,503.0,925.0,379.0
11412750.0,1775500.000000001,55.0,372.0,125.0,126.0
-7276250.0,806500.0000000009,49.0,350.0,226.0,144.0
1109750.0,1080500.000000001,61.0,300.0,128.0,96.0
4797750.0,196500.00000000093,76.0,341.0,153.0,260.0
8768750.0,1832500.000000001,65.0,346.0,186.0,232.0
-11937250.0,3111500.000000001,57.0,381.0,427.0,239.0
-5328250.0,-1564499.999999999,51.0,390.0,184.0,111.0
6861750.0,3971500.000000001,71.0,349.0,358.0,311.0
-13108250.0,6033500.000000001,50.0,528.0,732.0,425.0
-10250250.0,5429500.000000001,54.0,459.0,462.0,294.0
13433750.0,1235500.000000001,57.0,442.0,482.0,203.0
-11216250.0,4078500.000000001,76.0,352.0,115.0,117.0
-10124250.0,5849500.000000001,62.0,519.0,697.0,566.0
810750.0,1262500.000000001,61.0,316.0,114.0,61.0
1302750.0,1814500.000000001,81.0,270.0,35.0,137.0
-13087250.0,6374500.000000001,52.0,571.0,718.0,485.0
14891750.0,-3050499.999999999,75.0,320.0,37.0,229.0
2604750.0,5449500.000000001,63.0,511.0,1013.0,308.0
11876750.0,6626500.000000001,54.0,655.0,962.0,503.0
-13124250.0,6517500.000000001,52.0,576.0,963.0,470.0
-7495250.0,-319499.99999999907,41.0,372.0,425.0,253.0
4301750.0,5384500.000000001,67.0,482.0,698.0,320.0
4580750.0,2601500.000000001,81.0,320.0,115.0,164.0
-11391250.0,5975500.000000001,63.0,459.0,293.0,278.0
8235750.0,6558500.000000001,58.0,644.0,742.0,439.0
1625750.0,240500.00000000093,50.0,382.0,267.0,166.0
8854750.0,4299500.000000001,81.0,320.0,131.0,216.0
15840750.0,-3200499.999999999,75.0,357.0,50.0,220.0
2418750.0,2073500.000000001,81.0,289.0,90.0,178.0
-7644250.0,-847499.9999999991,41.0,366.0,277.0,161.0
-7545250.0,-4807499.999999999,74.0,368.0,222.0,189.0
-10960250.0,6311500.000000001,60.0,603.0,299.0,460.0
14600750.0,-3022499.999999999,76.0,338.0,47.0,263.0
440750.0,2821500.000000001,83.0,315.0,61.0,198.0
9849750.0,5803500.000000001,63.0,490.0,1478.0,294.0
6043750.0,6160500.000000001,63.0,620.0,517.0,429.0
6170750.0,5399500.000000001,77.0,384.0,266.0,206.0
5523750.0,3927500.000000001,76.0,306.0,116.0,175.0
7432750.0,2661500.000000001,75.0,320.0,92.0,237.0
-13155250.0,7142500.000000001,53.0,627.0,581.0,371.0
12513750.0,4914500.000000001,47.0,516.0,1011.0,297.0
-10231250.0,4924500.000000001,64.0,348.0,1004.0,245.0
-7918250.0,364500.00000000093,48.0,353.0,295.0,141.0
-4821250.0,-646499.9999999991,54.0,331.0,212.0,93.0
4981750.0,-2396499.999999999,63.0,349.0,196.0,124.0
2269750.0,5190500.000000001,53.0,367.0,678.0,210.0
796750.0,5385500.000000001,60.0,439.0,841.0,320.0
9730750.0,7176500.000000001,52.0,663.0,1068.0,454.0
4124750.0,2918500.000000001,80.0,292.0,62.0,122.0
9875750.0,6465500.000000001,61.0,634.0,878.0,370.0
6038750.0,4346500.000000001,75.0,338.0,182.0,206.0
15557750.0,-2732499.999999999,76.0,322.0,25.0,249.0
-10197250.0,7576500.000000001,65.0,567.0,502.0,435.0
1876750.0,1017500.0000000009,63.0,369.0,142.0,116.0
4161750.0,6519500.000000001,53.0,556.0,1121.0,603.0
8303750.0,1389500.000000001,55.0,413.0,397.0,276.0
11030750.0,2735500.000000001,57.0,385.0,301.0,205.0
2154750.0,2441500.000000001,81.0,294.0,81.0,166.0
-5358250.0,-2605499.999999999,55.0,403.0,275.0,166.0
16061750.0,-3567499.999999999,72.0,376.0,144.0,180.0
3569750.0,2067500.000000001,80.0,274.0,89.0,157.0
8706750.0,3583500.000000001,81.0,357.0,197.0,163.0
8890750.0,4506500.000000001,82.0,326.0,172.0,205.0
9237750.0,5309500.000000001,74.0,376.0,407.0,237.0
589750.0,3138500.000000001,84.0,305.0,96.0,281.0
5153750.0,3045500.000000001,79.0,300.0,60.0,158.0
7924750.0,3491500.000000001,64.0,406.0,585.0,346.0
2094750.0,1333500.000000001,69.0,388.0,125.0,245.0
11551750.0,1394500.000000001,56.0,397.0,183.0,157.0
5058750.0,373500.00000000093,77.0,330.0,133.0,190.0
5026750.0,3895500.000000001,77.0,341.0,226.0,268.0
-12089250.0,3608500.000000001,66.0,334.0,133.0,185.0
-12119250.0,3183500.000000001,78.0,320.0,123.0,221.0
-4102250.0,-571499.9999999991,67.0,361.0,127.0,229.0
4233750.0,6696500.000000001,48.0,600.0,952.0,646.0
5070750.0,956500.0000000009,80.0,345.0,160.0,217.0
3585750.0,4111500.000000001,71.0,359.0,300.0,248.0
-10446250.0,4854500.000000001,62.0,403.0,540.0,190.0
