latitude,longitude,ph,moisture,temperature,nitrogen,cec,fertility
8260500.000000001,-10749250.0,6.6,48.7,25.0,824.0,336.0,Medium
8260500.000000001,-10449250.0,6.3,50.5,25.0,868.0,422.0,Medium
8260500.000000001,-10349250.0,6.5,48.7,25.0,924.0,422.0,Medium
8260500.000000001,-10149250.0,6.5,50.2,25.0,1006.0,444.0,Medium
8260500.000000001,1650750.0,6.4,46.8,25.0,1047.0,444.0,Medium
8260500.000000001,1850750.0,6.4,47.3,25.0,1031.0,373.0,Medium
8160500.000000001,-10949250.0,6.5,51.4,25.0,972.0,459.0,High
8160500.000000001,-10749250.0,6.3,52.6,25.0,759.0,367.0,Medium
8160500.000000001,-10549250.0,6.3,51.7,25.0,799.0,355.0,Medium
8160500.000000001,-10349250.0,6.5,49.5,25.0,764.0,363.0,Medium
8160500.000000001,-10249250.0,6.7,47.6,25.0,669.0,301.0,Medium
8160500.000000001,1550750.0,6.3,47.0,25.0,1227.0,402.0,Medium
8160500.000000001,5550750.0,6.5,44.9,25.0,1023.0,477.0,High
8060500.000000001,-11149250.0,6.8,54.5,25.0,1066.0,453.0,High
8060500.000000001,-10949250.0,6.7,52.8,25.0,986.0,397.0,Medium
8060500.000000001,-10549250.0,6.1,56.0,25.0,751.0,378.0,Medium
8060500.000000001,1450750.0,6.5,45.7,25.0,1086.0,476.0,High
8060500.000000001,2750750.0,6.1,42.3,25.0,869.0,414.0,Medium
8060500.000000001,3050750.0,6.1,45.4,25.0,963.0,405.0,Medium
7960500.000000001,-11949250.0,6.8,51.7,25.0,1039.0,347.0,Medium
7960500.000000001,-10949250.0,6.8,49.4,25.0,745.0,326.0,Medium
7960500.000000001,-10749250.0,6.6,52.3,25.0,696.0,351.0,Medium
7960500.000000001,-10649250.0,6.2,51.9,25.0,649.0,340.0,Medium
7960500.000000001,-10549250.0,6.2,55.7,25.0,769.0,347.0,Medium
7960500.000000001,-9849250.0,6.6,50.9,25.0,714.0,435.0,Medium
7960500.000000001,1250750.0,6.3,47.6,25.0,1155.0,493.0,High
7960500.000000001,4750750.0,6.5,44.1,25.0,1144.0,443.0,Medium
7960500.000000001,4850750.0,6.5,47.4,25.0,1305.0,506.0,High
7960500.000000001,6150750.0,6.0,49.9,25.0,1566.0,613.0,High
7960500.000000001,6250750.0,6.3,47.8,25.0,1239.0,498.0,High
7960500.000000001,6350750.0,6.3,46.2,25.0,1166.0,456.0,Medium
7960500.000000001,6450750.0,6.2,47.8,25.0,1255.0,491.0,High
7860500.000000001,-11849250.0,6.9,48.4,25.0,728.0,336.0,Medium
7860500.000000001,-11749250.0,7.0,49.3,25.0,726.0,339.0,Medium
7860500.000000001,-11649250.0,7.1,47.6,25.0,751.0,268.0,Medium
7860500.000000001,-11549250.0,7.2,49.7,25.0,982.0,295.0,Medium
7860500.000000001,-11449250.0,7.1,50.2,25.0,930.0,318.0,Medium
7860500.000000001,-11149250.0,7.1,49.8,25.0,772.0,304.0,Medium
7860500.000000001,-10949250.0,6.8,50.4,25.0,799.0,398.0,Medium
7860500.000000001,-10749250.0,6.5,55.3,25.0,602.0,347.0,Medium
7860500.000000001,-10649250.0,6.5,54.6,25.0,681.0,280.0,Medium
7860500.000000001,-10549250.0,6.3,56.8,25.0,763.0,361.0,Medium
7860500.000000001,1150750.0,6.2,45.4,25.0,921.0,325.0,Medium
7860500.000000001,1250750.0,6.7,44.6,25.0,1255.0,500.0,High
